"timestep","female_total","male_total"
1,2037,2265
2,2050,2302
3,2014,2315
4,2049,2279
5,2027,2314
6,2035,2292
7,2045,2300
8,2014,2310
9,2003,2279
10,2001,2268
11,2003,2266
12,1983,2268
13,1996,2248
14,1999,2260
15,1999,2263
16,2012,2263
17,2010,2276
18,2044,2275
19,2010,2309
20,1998,2275
21,2001,2263
22,1985,2266
23,1970,2250
24,1986,2234
25,1986,2250
26,1993,2250
27,2002,2257
28,2008,2266
29,2007,2272
30,2009,2271
31,2019,2274
32,2032,2284
33,2040,2297
34,2059,2305
35,2038,2324
36,2047,2303
37,2053,2312
38,2027,2318
39,2035,2292
40,2026,2300
41,2034,2291
42,2048,2299
43,2057,2313
44,2056,2322
45,2028,2321
46,2025,2293
47,2040,2290
48,2038,2305
49,2034,2303
50,2041,2299
51,2028,2306
52,2028,2293
53,2034,2293
54,2032,2299
55,2030,2297
56,2023,2295
57,2022,2288
58,2031,2287
59,2023,2296
60,2006,2288
61,2013,2271
62,2048,2278
63,2029,2313
64,2034,2294
65,2029,2299
66,2028,2294
67,2021,2293
68,2025,2286
69,2021,2290
70,2031,2286
71,2031,2296
72,1998,2296
73,1984,2263
74,1991,2249
75,1998,2256
76,2009,2262
77,2012,2273
78,1970,2276
79,1988,2235
80,1975,2252
81,2006,2239
82,1984,2270
83,2017,2248
84,2011,2281
85,2006,2275
86,2028,2271
87,2040,2293
88,2022,2305
89,2031,2287
90,2034,2296
91,2041,2299
92,2023,2306
93,2001,2288
94,1986,2266
95,1936,2251
96,1976,2201
97,1972,2240
98,1996,2236
99,1996,2260
100,1989,2260
101,1981,2253
102,1989,2245
103,1994,2253
104,2004,2258
105,2004,2268
106,2010,2268
107,1986,2274
108,1960,2251
109,1946,2225
110,1948,2210
111,1931,2212
112,1937,2195
113,1947,2201
114,1941,2211
115,1942,2205
116,1947,2206
117,1940,2211
118,1968,2204
119,1968,2232
120,1975,2232
121,1959,2239
122,1971,2223
123,1977,2235
124,1995,2241
125,1997,2259
126,1993,2261
127,1986,2257
128,1970,2250
129,1976,2234
130,1992,2240
131,1996,2256
132,2000,2260
133,1999,2264
134,2004,2263
135,1967,2268
136,1952,2231
137,1975,2216
138,1996,2239
139,1990,2260
140,1998,2254
141,2035,2262
142,2062,2299
143,2055,2327
144,2035,2320
145,2010,2300
146,2017,2275
147,2014,2282
148,2020,2279
149,2027,2285
150,2016,2292
151,2016,2281
152,2018,2281
153,2020,2283
154,2037,2285
155,2050,2302
156,2022,2315
157,2006,2287
158,1994,2271
159,1984,2259
160,1990,2249
161,1987,2254
162,2015,2251
163,2013,2279
164,2030,2277
165,2022,2295
166,2049,2287
167,2015,2314
168,2028,2280
169,2046,2293
170,2052,2311
171,2034,2317
172,2037,2299
173,2047,2302
174,2050,2312
175,2030,2315
176,2033,2295
177,2013,2298
178,2008,2278
179,1982,2273
180,1997,2247
181,1977,2262
182,1991,2241
183,1977,2255
184,2005,2241
185,1998,2269
186,1991,2262
187,1988,2255
188,2016,2252
189,2018,2280
190,2028,2282
191,2018,2293
192,2022,2283
193,2055,2287
194,2031,2320
195,2027,2296
196,2048,2292
197,2038,2313
198,2008,2303
199,1974,2273
200,1981,2239
201,2007,2246
202,2022,2271
203,2027,2286
204,2006,2292
205,2007,2271
206,2005,2272
207,1966,2270
208,1971,2231
209,1987,2235
210,1967,2251
211,1968,2231
212,1970,2232
213,1962,2234
214,1980,2226
215,1992,2244
216,2001,2256
217,1983,2265
218,1989,2247
219,1961,2253
220,1967,2225
221,1987,2231
222,2016,2251
223,2007,2280
224,2025,2271
225,1993,2290
226,1998,2258
227,1969,2263
228,1954,2234
229,1970,2218
230,1960,2234
231,1920,2224
232,1939,2184
233,1957,2203
234,1957,2221
235,1956,2221
236,1934,2220
237,1953,2198
238,1974,2217
239,1999,2238
240,2024,2263
241,2029,2288
242,2035,2293
243,2027,2300
244,2020,2292
245,2026,2285
246,1994,2291
247,1981,2259
248,1996,2246
249,2003,2261
250,2005,2267
251,2020,2269
252,2011,2285
253,2020,2276
254,2046,2285
255,2076,2311
256,2044,2341
257,2025,2309
258,2035,2290
259,2002,2300
260,2010,2267
261,2031,2275
262,2037,2296
263,2073,2302
264,2065,2338
265,2044,2330
266,2056,2309
267,2079,2321
268,2071,2344
269,2075,2336
270,2072,2340
271,2045,2337
272,2038,2310
273,2031,2303
274,2032,2296
275,2025,2297
276,2040,2290
277,2036,2305
278,2019,2301
279,2033,2284
280,2045,2298
281,2019,2310
282,2016,2284
283,2008,2281
284,2001,2273
285,1997,2266
286,1994,2262
287,2007,2259
288,2013,2271
289,2022,2277
290,2024,2287
291,2023,2289
292,1995,2288
293,1949,2260
294,1952,2214
295,1970,2216
296,1984,2234
297,1990,2248
298,1997,2254
299,2012,2261
300,2012,2276
301,2035,2276
302,2032,2300
303,2027,2297
304,2022,2292
305,2042,2287
306,2061,2307
307,2057,2326
308,2055,2322
309,2055,2320
310,2047,2320
311,2026,2312
312,2026,2291
313,2045,2291
314,2058,2310
315,2054,2323
316,2046,2319
317,2040,2311
318,2043,2305
319,2051,2308
320,2054,2316
321,2063,2319
322,2061,2328
323,2041,2326
324,2044,2306
325,2015,2309
326,1998,2280
327,2009,2263
328,1997,2274
329,1990,2262
330,1996,2255
331,2008,2260
332,2014,2272
333,2017,2278
334,2012,2282
335,1993,2277
336,1985,2258
337,1988,2250
338,1986,2252
339,1976,2250
340,2001,2240
341,2007,2265
342,1991,2271
343,1999,2255
344,1997,2263
345,2000,2261
346,1983,2264
347,1981,2247
348,1996,2245
349,2016,2260
350,2006,2280
351,2003,2270
352,2032,2268
353,2012,2297
354,2007,2277
355,2012,2272
356,2013,2277
357,2030,2278
358,2031,2295
359,1997,2296
360,2025,2262
361,2020,2290
362,2043,2285
363,2030,2308
364,1996,2295
365,1965,2261
